,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד,תאריך עליה לכביש
108,אופל אינסיגניה,2011,4,1998,"24,000 ₪","130,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,כן,NaN,ירושלים,05/2022,11/2011
109,אאודי A1,2012,2,1390,"52,000 ₪","128,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,13,נתניה,,
110,טויוטה קורולה RUN-X,2005,4,1598,"10,000 ₪","290,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,NaN,מודיעין מכבים רעות,07/2022,07/2005
111,סקודה אוקטביה,2019,1,1984,"130,000 ₪","45,000",בנזין,אוטומט,שחור,פרטית,,לא,לא,NaN,חורפיש,,
112,מאזדה 3,2004,3,1598,"9,500 ₪","150,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,ירושלים,12/2021,12/2004
113,מרצדס S-Class,2010,3,3498,"100,000 ₪","200,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,15,עראבה,06/2022,11/2010
114,סיאט לאון,2008,5,1968,"43,000 ₪","253,500",דיזל,ידנית,כסוף,פרטית,פרטית,לא,לא,15,גינתון,10/2022,09/2008
115,מרצדס A-Class,2021,1,1332,"295,000 ₪","6,900",היברידי חשמל / בנזין,אוטומט,שחור,פרטית,,לא,לא,1,הרצליה,,01/2021
116,פיג'ו 3008,2011,2,1598,"17,500 ₪","176,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,בת ים,03/2022,
117,פולקסווגן פאסאט,2006,8,1984,"9,000 ₪","270,000",בנזין,אוטומט,כחול בהיר מטאלי,פרטית,פרטית,לא,לא,15,נתיבות,12/2022,11/2006
118,יונדאי i35,2014,4,1591,"48,000 ₪","148,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,14,קרית אונו,05/2022,
119,טויוטה יאריס,2004,4,1299,"11,500 ₪","156,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,NaN,ירושלים,04/2022,04/2004
120,יונדאי אקסנט (עד 2012),2008,2,1399,"9,000 ₪","190,000",בנזין,אוטומט,אפור,פרטית,פרטית,כן,לא,15,רמלה,02/2022,10/2008
121,ב.מ.וו סדרה 3,2018,3,1499,"157,000 ₪","29,000",בנזין,אוטומט,לבן שנהב,פרטית,פרטית,לא,לא,12,דימונה,10/2021,08/2018
122,יונדאי i30,2018,2,1353,"98,000 ₪","68,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,6,רחובות,08/2022,08/2018
123,ניסאן ג'וק / Juke,2011,1,1598,"35,000 ₪","105,000",בנזין,אוטומט,בורדו,פרטית,,לא,לא,13,חורפיש,11/2022,11/2011
124,ב.מ.וו סדרה 3,2008,5,1995,"43,000 ₪","144,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,כן,לא,15,ירושלים,06/2022,06/2008
125,הונדה סיוויק האצ'בק החדשה,2012,3,1798,"35,000 ₪","146,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,14,חיפה,08/2022,08/2012
126,סקודה אוקטביה,2013,2,1798,"32,000 ₪","220,000",בנזין,אוטומט,כסוף מטאלי,פרטית,ליסינג,לא,לא,13,אופקים,06/2022,06/2013
127,טויוטה פריוס הייבריד,2008,2,1497,"28,000 ₪","198,000",בנזין,אוטומט,ירוק בהיר,פרטית,פרטית,לא,לא,4,ירושלים,02/2022,01/2008
128,מאזדה 323 לאנטיס,2000,4,1598,"6,150 ₪","224,250",בנזין,אוטומט,אפור,פרטית,פרטית,לא,לא,NaN,בני ברק,02/2022,
129,מיצובישי לנסר קלאסיק,2006,4,1584,"5,500 ₪","228,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,ירושלים,06/2022,
130,טויוטה קורולה,2011,2,1598,"35,000 ₪","130,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,15,אשקלון,07/2022,07/2011
131,ב.מ.וו סדרה 5,2007,3,2996,"45,000 ₪","317,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,כן,לא,NaN,ירושלים,11/2022,11/2007
132,טויוטה קורולה,2007,4,1598,"25,000 ₪","106,000",בנזין,אוטומט,כסוף מטאלי,פרטית,פרטית,לא,לא,NaN,קרית מוצקין,01/2023,01/2007
133,קרייזלר PT קרוזר,2007,3,2429,"27,900 ₪","102,000",בנזין,אוטומט,קרם,פרטית,פרטית,לא,לא,15,באר שבע,06/2022,
134,יונדאי i30,2012,3,1591,"35,000 ₪","145,000",בנזין,אוטומט,שחור,פרטית,פרטית,לא,לא,14,ראשון לציון,10/2022,10/2012
135,סיטרואן C4 פיקאסו,2012,2,1598,"15,000 ₪","240,000",בנזין,רובוטית,סגול מטאלי,פרטית,ליסינג,לא,לא,15,גבעת זאב,,12/2012
136,סקודה סופרב (עד 2019),2017,2,1798,"135,000 ₪","90,000",בנזין,אוטומט,חום מטאלי,פרטית,פרטית,כן,לא,14,ירושלים,12/2023,12/2017
137,סיטרואן C4 קקטוס,2017,2,1199,"46,500 ₪","37,500",בנזין,ידנית,אפור מטאלי,פרטית,פרטית,כן,לא,5,פתח תקווה,02/2022,02/2017
138,קרייזלר גראנד וויאג'ר,2011,2,3778,"45,000 ₪","165,000",בנזין,אוטומט,פלטינה,פרטית,פרטית,לא,לא,15,פתח תקווה,06/2022,
139,טויוטה קורולה,2017,1,1598,"70,000 ₪","114,000",בנזין,אוטומט,לבן פנינה,ליסינג,,לא,לא,7,ירושלים,06/2022,06/2017
140,מרצדס C-Class,2005,3,2597,"25,000 ₪","340,000",בנזין,אוטומט,כסוף,פרטית,פרטית,כן,לא,NaN,שדרות,09/2022,
141,סקודה סופרב (2019 ואילך),2019,2,1984,"210,000 ₪","57,000",בנזין,אוטומט,אפור עכבר,פרטית,פרטית,לא,לא,10,רמלה,03/2022,03/2019
142,סיאט לאון,2018,1,999,"82,000 ₪","45,000",בנזין,אוטומט,אפור מטאלי,פרטית,,לא,לא,10,ניצן,09/2022,09/2018
143,סובארו XV,2015,1,1600,"56,000 ₪","127,000",בנזין,אוטומט,כתום,פרטית,,לא,לא,14,חיפה,06/2022,
144,יונדאי i10,2018,2,1248,"65,000 ₪","30,000",בנזין,אוטומט,שחור,פרטית,ליסינג,לא,לא,11,נתיבות,09/2022,09/2018
145,יונדאי אקסנט (עד 2012),2006,4,1495,"5,200 ₪","215,000",בנזין,אוטומט,כסוף,פרטית,פרטית,כן,לא,NaN,ביתר עילית,06/2022,
146,סקודה אוקטביה,2017,2,999,"65,000 ₪","1,300",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,9,תל אביב יפו,06/2022,05/2017
147,ב.מ.וו סדרה 3,2005,2,1995,לא צוין מחיר,"200,000",בנזין,אוטומט,כחול כהה,פרטית,פרטית,לא,לא,15,תל שבע,05/2022,03/2005
148,שברולט אופטרה,2005,3,1598,"2,900 ₪","170,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,ירושלים,03/2022,
149,פורד פוקוס,2011,3,1596,"16,000 ₪","115,000",בנזין,אוטומט,כסוף,פרטית,פרטית,לא,לא,14,ירושלים,08/2022,08/2011
150,רנו לוגאן MCV,2009,3,1598,"10,000 ₪","290,000",בנזין,ידנית,כסוף,פרטית,פרטית,כן,לא,15,ירושלים,12/2022,12/2009
151,רנו מגאן גראנד קופה,2018,2,1197,"57,000 ₪","128,000",בנזין,אוטומט,שחור,פרטית,ליסינג,לא,לא,7,ערד,02/2022,02/2018
152,פיג'ו 206 +,2012,7,1360,"10,000 ₪","125,000",בנזין,ידנית,שחור מטאלי,פרטית,פרטית,לא,לא,14,פתח תקווה,10/2022,12/2012
153,אופל זאפירה,2015,2,1364,לא צוין מחיר,"120,000",בנזין,אוטומט,לבן,פרטית,ליסינג,כן,לא,15,ירושלים,07/2022,07/2015
154,סקודה פאביה,2021,1,999,לא צוין מחיר,601,בנזין,אוטומט,שחור מטאלי,פרטית,,לא,לא,7,חולון,,10/2021
155,טויוטה אוריס הייבריד,2015,2,1798,"40,000 ₪","270,000",בנזין,אוטומט,לבן מטאלי,פרטית,ליסינג,לא,לא,3,באר יעקב,05/2022,05/2015
156,מאזדה 6,2004,4,2261,"18,000 ₪","140,000",בנזין,אוטומט,אפור מטאלי,פרטית,פרטית,לא,לא,NaN,נתיבות,08/2022,08/2004
157,הונדה סיוויק Type-R,2002,7,1998,"56,000 ₪","285,000",בנזין,ידנית,כסוף מטאלי,פרטית,פרטית,לא,לא,NaN,ירושלים,01/2022,
