,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
143,סובארו לגאסי,1991,3,1820,"8,500 ₪","240,000",בנזין,אוטומט,אפור מטאלי,,10/2022,פרטית,לא,לא,NaN,נהריה,פרטית,
144,סקודה אוקטביה,2017,1,999,לא צוין מחיר,"113,857",בנזין,אוטומט,אפור,05/2017,02/2022,פרטית,לא,לא,11,כפר מנדא,,
145,מרצדס E-Class,2019,3,1991,לא צוין מחיר,"68,000",היברידי חשמל / בנזין,אוטומט,שחור מטאלי,02/2019,03/2022,פרטית,לא,לא,14,טבריה,פרטית,
146,פורד מוסטנג,2008,6,4000,"75,000 ₪","41,404",בנזין,אוטומט,לבן,08/2008,01/2022,פרטית,לא,לא,NaN,באקה אל ע'רביה,פרטית,
147,סובארו B3 סדאן,2011,2,1498,"29,000 ₪","145,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,כן,לא,15,בני ברק,חברה,
148,יונדאי i30CW,2012,3,1591,"17,000 ₪","275,000",בנזין,אוטומט,אפור עכבר,,,פרטית,לא,לא,12,חדרה,ליסינג,
149,מרצדס C-Class Taxi,2017,2,2143,"78,000 ₪","328,000",דיזל,אוטומט,לבן שנהב,01/2017,01/2022,חברה,לא,לא,14,ירושלים,מונית,
150,מאזדה 3,2014,2,1496,"47,000 ₪","182,000",בנזין,אוטומט,לבן פנינה,11/2014,11/2022,פרטית,לא,לא,10,חיפה,פרטית,
151,הונדה סיוויק סדאן החדשה,2006,3,1799,"12,500 ₪","280,000",בנזין,אוטומט,כסוף מטאלי,,06/2022,פרטית,כן,לא,14,ערד,פרטית,
152,פולקסווגן גולף,2019,1,999,"108,000 ₪","33,000",בנזין,אוטומט,לבן,09/2019,09/2022,פרטית,לא,לא,10,אשדוד,,
153,פורד פוקוס,2012,3,1596,"21,000 ₪","113,000",בנזין,אוטומט,שחור מטאלי,09/2012,09/2022,פרטית,לא,לא,14,ראשון לציון,פרטית,
154,סיאט איביזה,2015,3,1390,"83,000 ₪","95,000",בנזין,אוטומט,לבן פנינה,11/2015,03/2022,פרטית,לא,כן,11,ירכא,פרטית,
155,קיה ספורטז',2016,2,1999,לא צוין מחיר,"75,000",בנזין,אוטומט,לבן,05/2016,05/2022,פרטית,לא,לא,15,מעלות תרשיחא,פרטית,
