,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
479,טויוטה קורולה,2009,4,1598,"16,800 ₪","150,000",בנזין,רובוטית,אפור עכבר,02/2009,02/2022,פרטית,לא,לא,15,כוכב יעקב,חברה,
480,רנו קליאו דור 4 (2013-2019),2017,2,1461,"51,000 ₪","120,000",דיזל,אוטומט,כסף מטלי,07/2017,07/2022,פרטית,לא,לא,10,אכסאל,ליסינג,
481,רנו קליאו דור 4 (2013-2019),2017,2,1461,"51,000 ₪","120,000",דיזל,אוטומט,כסף מטלי,07/2017,07/2022,פרטית,לא,לא,10,אכסאל,ליסינג,
482,סוזוקי איגניס,2019,2,1242,"72,000 ₪","18,550",בנזין,אוטומט,שחור מטאלי,08/2019,08/2022,פרטית,לא,לא,4,פתח תקווה,פרטית,
483,קיה ספורטז',2015,1,1998,"82,000 ₪","129,000",בנזין,אוטומט,לבן,08/2015,08/2022,פרטית,לא,לא,15,חולון,,
484,טויוטה אוריס הייבריד,2015,2,1798,"56,000 ₪","200,000",בנזין,אוטומט,לבן,06/2015,,פרטית,לא,לא,3,חריש,השכרה,
485,הונדה אקורד,2007,5,1998,"20,000 ₪","198,000",בנזין,אוטומט,שחור,09/2007,09/2022,פרטית,לא,לא,NaN,כפר שמואל,פרטית,
486,סקודה קודיאק,2020,1,1984,"188,000 ₪","93,000",בנזין,אוטומט,אפור עכבר,02/2020,02/2022,פרטית,לא,לא,13,כנות,,
487,ניסאן אלמרה,1997,5,1597,"5,000 ₪","280,000",בנזין,אוטומט,לבן,06/1997,06/2022,פרטית,לא,לא,NaN,חדרה,פרטית,
488,רנו פלואנס,2012,2,1461,"30,000 ₪","195,000",דיזל,אוטומט,לבן,03/2012,03/2022,פרטית,לא,לא,15,טבריה,פרטית,
489,ב.מ.וו X5,2012,3,2979,"110,000 ₪","192,000",בנזין,אוטומט,לבן,10/2012,10/2022,פרטית,לא,לא,15,רמת גן,פרטית,
490,ב.מ.וו X4,2021,1,1998,"369,000 ₪","12,000",בנזין,אוטומט,אפור מטאלי,01/2021,12/2021,פרטית,לא,לא,14,כרמיאל,,
491,סיאט לאון,2012,5,1789,"41,000 ₪","135,000",בנזין,אוטומט,אפור מטאלי,04/2012,04/2022,פרטית,לא,לא,15,כיסרא סומיע,פרטית,
492,מאזדה MPV,2005,3,2967,"12,000 ₪","194,000",בנזין,אוטומט,כסוף מטאלי,,02/2022,פרטית,לא,לא,NaN,ירושלים,השכרה,
493,אאודי RS7,2016,4,3993,לא צוין מחיר,"90,000",בנזין,אוטומט,לבן,03/2016,03/2022,פרטית,לא,לא,15,ירושלים,פרטית,
494,לנד רובר ריינג' רובר ספורט,2013,3,2993,לא צוין מחיר,"130,000",טורבו דיזל,אוטומט,,01/2013,01/2022,פרטית,כן,לא,15,חולון,פרטית,אוטו טרייד
495,אאודי A3,2014,2,1395,"65,000 ₪","135,000",בנזין,אוטומט,קרם,06/2014,06/2022,פרטית,כן,לא,13,גדרה,פרטית,
496,ב.מ.וו X5,2016,2,1997,"243,900 ₪","87,000",היברידי חשמל / בנזין,אוטומט,לבן מטאלי,01/2016,01/2022,פרטית,כן,לא,3,ראשון לציון,פרטית,
497,סיאט לאון,2013,2,1789,לא צוין מחיר,"72,000",בנזין,אוטומט,אפור מטאלי,02/2013,02/2022,פרטית,לא,לא,13,כפר סבא,פרטית,
498,סוזוקי SX4 קרוסאובר,2016,2,1586,"75,000 ₪","62,400",בנזין,אוטומט,לבן פנינה,11/2016,09/2022,פרטית,לא,לא,8,באר שבע,פרטית,
499,טויוטה קורולה,2010,3,1598,"26,500 ₪","236,000",בנזין,אוטומט,כסוף,08/2010,08/2022,פרטית,לא,לא,15,בית שמש,פרטית,
500,מרצדס B-Class Taxi,2018,2,2143,"45,000 ₪","224,000",דיזל,ידנית,לבן,03/2018,03/2022,מונית,לא,לא,14,חיפה,מונית,
501,יונדאי סונטה הייבריד,2017,1,1999,"106,000 ₪","105,000",בנזין,אוטומט,אפור מטאלי,01/2017,01/2023,פרטית,לא,לא,3,אפרת,,
502,סקודה אוקטביה,2010,2,1798,"24,000 ₪","198,000",בנזין,אוטומט,ברונזה,01/2010,01/2022,פרטית,לא,לא,14,מעלות תרשיחא,פרטית,
503,דאצ'יה סנדרו Stepway,2020,1,1461,"59,500 ₪","34,449",דיזל,ידנית,ברונזה,08/2020,08/2022,פרטית,כן,לא,12,פתח תקווה,,
504,יונדאי ולוסטר,2014,3,1591,"60,000 ₪","80,000",בנזין,אוטומט,אפור,01/2014,,פרטית,לא,לא,13,ראשון לציון,פרטית,
505,סיאט איביזה,2011,4,1598,"23,000 ₪","212,600",בנזין,ידנית,שחור מטאלי,02/2011,,פרטית,לא,לא,14,בית שאן,פרטית,
506,סובארו B4,2009,2,1994,"27,000 ₪","102,000",בנזין,אוטומט,זהב,09/2009,09/2022,פרטית,לא,לא,13,קרית מוצקין,פרטית,
507,מאזדה 3,2011,3,1598,"24,000 ₪","198,000",בנזין,אוטומט,לבן פנינה,05/2011,05/2022,פרטית,לא,לא,15,יבנה,פרטית,
508,הונדה אקורד,2005,2,1998,"13,000 ₪","300,000",בנזין,אוטומט,לבן,10/2005,11/2022,פרטית,לא,לא,15,לוד,פרטית,
509,שברולט ספארק,2014,4,995,"21,300 ₪","49,500",בנזין,ידנית,בז',07/2014,07/2022,פרטית,לא,לא,9,חריש,פרטית,
510,אינפיניטי G37,2011,4,3696,"53,000 ₪","136,000",בנזין,אוטומט,ברונזה,06/2011,06/2022,פרטית,לא,לא,15,ירוחם,פרטית,
511,פיג'ו 3008,2021,1,1499,"149,000 ₪","12,000",דיזל,אוטומט,לבן פנינה,06/2021,06/2022,פרטית,לא,לא,13,נהריה,,
512,מרצדס B-Class,2008,3,2034,לא צוין מחיר,"67,200",בנזין,אוטומט,לבן,07/2008,07/2022,פרטית,לא,לא,15,ירושלים,פרטית,
513,יונדאי סונטה הייבריד,2016,3,1999,"108,000 ₪","69,000",בנזין,אוטומט,שחור,08/2016,08/2022,פרטית,לא,לא,3,בית שמש,פרטית,
514,שברולט סוניק,2012,3,1598,"20,000 ₪","140,000",בנזין,אוטומט,טורקיז,,08/2022,פרטית,לא,לא,14,אחיעזר,פרטית,
515,טויוטה פריוס הייבריד,2012,2,1798,"46,000 ₪","165,300",בנזין,אוטומט,אפור,,,פרטית,לא,לא,3,ירושלים,פרטית,
516,פיג'ו 2008,2014,2,1199,"21,000 ₪","125,000",בנזין,ידנית,ברונזה מטאלי,12/2014,12/2022,פרטית,לא,לא,13,ראש פינה,פרטית,
517,טויוטה קורולה,2004,3,1598,"8,500 ₪","250,000",בנזין,אוטומט,אפור עכבר,03/2004,05/2022,פרטית,לא,לא,NaN,רמלה,פרטית,
518,טויוטה קורולה,2004,3,1598,"8,500 ₪","250,000",בנזין,אוטומט,אפור עכבר,03/2004,05/2022,פרטית,לא,לא,NaN,רמלה,פרטית,
519,טויוטה C-HR,2017,2,1798,"107,000 ₪","74,000",בנזין,אוטומט,לבן מטאלי,03/2017,03/2022,פרטית,לא,לא,3,רמלה,פרטית,
520,מיצובישי ספייס סטאר,2020,1,1193,"73,000 ₪","6,400",בנזין,אוטומט,שחור,05/2020,,פרטית,לא,לא,3,חולון,,
521,רנו מגאן גראנד קופה,2018,1,1461,"85,000 ₪","127,000",דיזל,אוטומט,אפור עכבר,02/2018,02/2022,פרטית,לא,לא,7,ירושלים,,
522,הונדה סיוויק (עד 2006),2005,3,1590,"9,000 ₪","314,000",בנזין,אוטומט,אפור מטאלי,,,פרטית,לא,לא,NaN,אשקלון,פרטית,
523,סקודה אוקטביה,2016,1,1395,"64,000 ₪","183,000",בנזין,אוטומט,ירקרק,10/2016,05/2022,פרטית,לא,לא,9,כפר יונה,,
524,שברולט אורלנדו,2014,2,1362,"26,000 ₪","140,000",בנזין,אוטומט,כסף מטלי,,,פרטית,לא,לא,15,טבריה,ליסינג,
525,סוזוקי סוויפט,2010,2,1490,"28,000 ₪","163,526",בנזין,אוטומט,לבן פנינה,,,פרטית,לא,לא,14,מודיעין מכבים רעות,פרטית,
526,סיטרואן C3,2017,1,1199,"52,500 ₪","67,000",בנזין,אוטומט,כתום,09/2017,09/2022,פרטית,כן,לא,10,לוד,,
527,הונדה אקורד,2006,3,1998,לא צוין מחיר,175,בנזין,אוטומט,אפור,,,פרטית,כן,כן,15,"בסמ""ה",פרטית,
528,יונדאי i30CW,2011,3,1591,"16,000 ₪","236,000",בנזין,אוטומט,כחול,,06/2022,פרטית,לא,לא,15,כפר יונה,פרטית,
529,מאזדה 3,2014,3,1496,"60,000 ₪","90,000",בנזין,אוטומט,שחור מטאלי,03/2014,03/2022,פרטית,לא,לא,10,לוד,פרטית,
530,מאזדה 323,1997,4,1598,"6,500 ₪","160,000",בנזין,אוטומט,ברונזה,11/1997,02/2022,פרטית,לא,לא,NaN,כרמיאל,פרטית,
531,פיג'ו 3008,2019,1,1997,"169,900 ₪","42,500",דיזל,אוטומט,לבן,07/2019,07/2022,ליסינג,לא,לא,10,ראשון לציון,,OTO-שירות ומכירת רכב
532,סיאט לאון,2016,3,1798,"96,000 ₪","104,000",בנזין,אוטומט,שחור מטאלי,01/2016,06/2022,פרטית,כן,לא,12,יבנה,פרטית,
533,יונדאי קופה,2004,2,2656,"38,000 ₪","157,000",בנזין,ידנית,אדום,10/2004,,פרטית,כן,לא,NaN,כרמיאל,פרטית,
534,סובארו אימפרזה החדשה,2016,2,1600,"32,000 ₪","129,000",בנזין,אוטומט,שחור מטאלי,04/2016,,פרטית,לא,לא,14,אשקלון,ליסינג,
535,מרצדס E-Class קופה / קבריולט,2021,1,2999,לא צוין מחיר,"25,000",בנזין,אוטומט,לבן מטאלי,06/2021,06/2022,פרטית,לא,לא,14,אעבלין,,
536,מרצדס GLC,2019,1,1991,"309,000 ₪","37,000",בנזין,אוטומט,לבן פנינה,04/2019,,פרטית,לא,לא,15,אשקלון,,
537,טויוטה קורולה,2011,3,1598,"26,500 ₪","211,000",בנזין,אוטומט,כחול כהה,12/2011,,פרטית,לא,לא,15,באר שבע,פרטית,
538,סיאט לאון,2011,7,1789,"47,000 ₪","140,000",בנזין,אוטומט,לבן פנינה,05/2011,05/2022,פרטית,לא,לא,14,רעננה,פרטית,
539,מאזדה 6,2015,3,2488,"80,000 ₪","82,000",בנזין,אוטומט,אדום מטאלי,07/2015,,פרטית,לא,לא,14,טמרה,פרטית,
540,פולקסווגן פאסאט CC,2015,4,1798,"70,000 ₪","102,000",בנזין,אוטומט,שחור מטאלי,11/2015,,פרטית,לא,לא,15,חיפה,פרטית,
541,דייהטסו סיריון,2006,3,1298,"8,000 ₪","190,000",בנזין,אוטומט,ירוק בהיר,12/2006,12/2021,פרטית,כן,לא,4,אכסאל,פרטית,
542,סקודה סופרב (עד 2019),2011,4,1798,לא צוין מחיר,230,בנזין,אוטומט,שחור,11/2011,04/2022,פרטית,כן,לא,15,זמר,פרטית,
543,יונדאי איוניק,2017,2,1580,"83,500 ₪","117,000",בנזין,אוטומט,אפור מטאלי,01/2017,01/2023,פרטית,כן,לא,2,כרמיאל,פרטית,
544,ב.מ.וו סדרה 2,2015,3,1998,"165,000 ₪","165,000",בנזין,אוטומט,אפור מטאלי,07/2015,07/2022,פרטית,לא,לא,15,באקה אל ע'רביה,פרטית,
545,שברולט טראוורס,2011,2,3564,לא צוין מחיר,"200,000",בנזין,אוטומט,לבן פנינה,01/2011,07/2022,פרטית,לא,לא,15,אבן יהודה,פרטית,
546,פיאט 500,2010,2,1368,"20,000 ₪","85,000",בנזין,רובוטית,לבן שנהב,11/2010,01/2023,פרטית,לא,לא,11,חיפה,פרטית,
547,סיטרואן C1,2011,4,998,"12,500 ₪","185,000",בנזין,ידנית,אדום,12/2011,01/2023,פרטית,כן,לא,8,יד בנימין,פרטית,
548,יונדאי אקסנט (עד 2012),2008,3,1599,"10,000 ₪","200,000",בנזין,אוטומט,לבן,,,פרטית,לא,לא,15,קלנסווה,פרטית,
549,טויוטה קאמרי,2008,5,2362,"32,000 ₪","230,000",בנזין,אוטומט,אפור,01/2008,01/2022,פרטית,לא,לא,15,ירושלים,פרטית,
550,קיה ספורטז',2013,2,1998,"60,000 ₪","120,000",בנזין,אוטומט,אפור עכבר,11/2013,,פרטית,כן,לא,15,כפר כנא,פרטית,
551,ניסאן טידה,2008,5,1598,"9,000 ₪","257,000",בנזין,אוטומט,כסוף מטאלי,02/2008,02/2022,פרטית,כן,לא,15,אילון,ליסינג,
552,רנו קפצ'ור,2016,2,1461,"42,000 ₪","230,000",דיזל,אוטומט,קרם,06/2016,06/2022,פרטית,לא,לא,12,טירת כרמל,ליסינג,
553,רנו מגאן דור 3 (2009-2017),2010,2,1598,"3,500 ₪","220,000",בנזין,אוטומט,כחול כהה,08/2010,,פרטית,לא,לא,15,ג'ת,פרטית,
554,קיה ספורטז',2016,2,1999,"105,000 ₪","80,000",בנזין,אוטומט,לבן,03/2016,03/2022,פרטית,כן,לא,15,מבשרת ציון,פרטית,
555,טויוטה לנד קרוזר ארוך,2015,2,2982,"255,000 ₪","261,000",דיזל,אוטומט,לבן מטאלי,05/2015,06/2022,פרטית,כן,כן,15,לוד,פרטית,
556,שברולט מאליבו,2006,2,3498,"13,000 ₪","105,000",בנזין,אוטומט,ברונזה,09/2006,07/2022,פרטית,כן,לא,NaN,לקיה,פרטית,
557,טויוטה קורולה,2008,3,1598,"15,000 ₪","227,000",בנזין,רובוטית,כחול כהה,,01/2022,פרטית,לא,לא,15,קרית אתא,פרטית,
558,סקודה פאביה,2021,1,999,"99,000 ₪","28,000",בנזין,אוטומט,אפור מטאלי,03/2021,03/2022,פרטית,לא,לא,6,קרית אתא,,
559,סקודה רומסטר,2014,2,1197,"25,000 ₪","180,000",בנזין,אוטומט,לבן מטאלי,02/2014,02/2022,פרטית,לא,לא,14,קרית ים,ליסינג,
560,מרצדס GLE,2017,2,2996,"329,000 ₪","68,000",היברידי חשמל / בנזין,אוטומט,שחור מטאלי,10/2017,10/2022,פרטית,לא,לא,15,כרמיאל,פרטית,
561,סובארו B4,2010,2,1995,"15,000 ₪","263,500",בנזין,אוטומט,זהב,,05/2022,פרטית,לא,לא,15,ירושלים,פרטית,
562,רנו טווינגו,2017,1,898,"43,000 ₪","50,000",בנזין,אוטומט,כחול כהה,12/2017,12/2022,פרטית,לא,לא,7,נצרת,,
563,סקודה אוקטביה,2021,1,999,לא צוין מחיר,"24,000",בנזין,אוטומט,שחור מטאלי,04/2021,,פרטית,לא,לא,4,כפר קאסם,,
564,מאזדה 626,2000,4,1991,"5,500 ₪","480,000",בנזין,אוטומט,ירוק בקבוק,02/2000,02/2022,פרטית,לא,לא,NaN,אלעד,פרטית,
565,שברולט ספארק,2016,1,1399,לא צוין מחיר,"113,000",בנזין,אוטומט,כסוף,,09/2022,פרטית,לא,לא,8,יובלים,,
566,סקודה פאביה,2005,3,1390,"8,500 ₪","303,000",בנזין,ידנית,אפור עכבר,,12/2022,פרטית,לא,לא,NaN,מודיעין עילית,פרטית,
567,סובארו B4,2011,2,1994,"28,500 ₪","155,000",בנזין,אוטומט,שחור מטאלי,06/2011,06/2022,פרטית,לא,לא,15,יהוד מונוסון,פרטית,
568,אופל אסטרה,2017,1,1399,"53,000 ₪","128,000",בנזין,אוטומט,לבן מטאלי,10/2017,10/2022,ליסינג,כן,לא,10,כפר יונה,,מוטודיל
569,סקודה סופרב (2019 ואילך),2021,1,1395,"280,000 ₪","17,000",היברידי חשמל / בנזין,אוטומט,כסוף מטאלי,08/2021,,פרטית,לא,לא,14,בוסתן הגליל,,
570,טויוטה אוריס הייבריד,2015,2,1798,"60,523 ₪","217,000",בנזין,אוטומט,כסוף,12/2015,,פרטית,לא,לא,3,ירושלים,פרטית,
571,סובארו B4,2010,4,1994,"25,000 ₪","217,000",בנזין,אוטומט,שחור,12/2010,12/2022,פרטית,לא,לא,15,ירושלים,השכרה,
572,ב.מ.וו סדרה 3,2012,2,1997,לא צוין מחיר,"138,000",בנזין,אוטומט,לבן פנינה,07/2012,07/2022,פרטית,כן,לא,15,ירושלים,פרטית,
573,ב.מ.וו סדרה 7,2010,10,2979,"75,000 ₪","250,000",בנזין,אוטומט,לבן,11/2010,05/2022,פרטית,כן,לא,15,ירושלים,פרטית,
574,קיה אופטימה / Optima,2012,1,1998,לא צוין מחיר,"195,000",בנזין,אוטומט,אפור,12/2012,12/2022,פרטית,לא,לא,15,רמת גן,,
575,ב.מ.וו סדרה 5,2017,2,1998,"275,000 ₪","62,000",היברידי חשמל / בנזין,אוטומט,אפור,,09/2022,פרטית,לא,לא,14,כרמיאל,פרטית,
576,סקודה סופרב (עד 2019),2018,2,1984,"175,000 ₪","44,300",בנזין,אוטומט,אפור,06/2018,06/2022,פרטית,לא,לא,14,ירושלים,פרטית,
577,סקודה קודיאק,2020,1,1968,"210,000 ₪","65,000",דיזל,אוטומט,אפור,01/2020,,פרטית,לא,לא,13,רחובות,,
578,רנו מגאן אסטייט/ גראנד טור,2016,2,1461,"35,000 ₪","200,000",דיזל,אוטומט,שחור מטאלי,06/2016,07/2022,פרטית,לא,לא,12,גלאון,ליסינג,
579,קיה אופטימה / Optima,2016,1,1685,"42,000 ₪","260,000",דיזל,אוטומט,לבן,02/2016,02/2022,מונית,לא,לא,9,ירושלים,,
580,סקודה אוקטביה,2014,3,1197,"45,000 ₪","112,222",בנזין,אוטומט,כחול כהה מטאלי,,,פרטית,לא,כן,14,חולון,פרטית,
581,לנד רובר ריינג' רובר,2020,1,1997,"620,000 ₪","80,000",היברידי חשמל / בנזין,אוטומט,שחור,06/2020,10/2022,פרטית,לא,לא,2,עשרת,,
582,פולקסווגן גולף,2008,3,1595,"14,500 ₪","135,000",בנזין,אוטומט,כסוף מטאלי,07/2008,08/2022,פרטית,לא,לא,NaN,באר שבע,פרטית,
583,הונדה סיוויק סדאן החדשה,2010,4,1799,"22,000 ₪","220,000",בנזין,אוטומט,בורדו מטאלי,04/2010,04/2022,פרטית,לא,לא,14,נצרת,ליסינג,
584,אופל זאפירה,2013,2,1364,"23,900 ₪","240,000",בנזין,אוטומט,אפור,10/2013,10/2022,פרטית,לא,לא,15,ירושלים,ליסינג,
585,טויוטה קורולה RUN-X,2003,7,1598,"11,000 ₪","243,000",בנזין,אוטומט,לבן,,05/2022,פרטית,לא,לא,NaN,ראש העין,פרטית,
586,קיה פיקנטו,2018,1,1248,לא צוין מחיר,"30,000",בנזין,אוטומט,שחור מטאלי,07/2018,07/2022,פרטית,לא,לא,9,רמת גן,,
587,ב.מ.וו סדרה 1,2019,2,1499,"142,000 ₪","28,000",בנזין,אוטומט,לבן,11/2019,11/2022,פרטית,לא,לא,12,כפר בלום,פרטית,
588,הונדה סיוויק (עד 2006),2004,5,1590,"6,500 ₪","280,000",בנזין,אוטומט,זהב,,09/2022,פרטית,לא,לא,NaN,קרית גת,פרטית,
589,ניסאן טידה,2008,3,1598,"6,900 ₪","240,000",בנזין,אוטומט,כחול כהה,12/2008,12/2021,פרטית,לא,לא,15,ירושלים,פרטית,
590,סוזוקי ליאנה,2007,4,1586,"12,000 ₪","270,000",בנזין,אוטומט,לבן פנינה,,09/2022,פרטית,לא,לא,NaN,דאלית אל כרמל,פרטית,
591,מיני ONE,2012,3,1598,"38,000 ₪","165,000",בנזין,ידנית,שחור מטאלי,,,פרטית,לא,לא,15,חיפה,פרטית,
592,סיאט איביזה,2018,1,999,"84,000 ₪","100,000",בנזין,אוטומט,כחול מטאלי,01/2018,01/2022,פרטית,לא,לא,9,בית הלל,,
593,פיאט 500,2014,2,1242,"29,000 ₪","96,369",בנזין,רובוטית,שחור,07/2014,07/2022,פרטית,לא,לא,7,תל אביב יפו,ליסינג,
594,שברולט קרוז,2012,3,1598,"15,000 ₪","156,000",בנזין,אוטומט,אפור,10/2012,10/2022,פרטית,לא,לא,14,הרצליה,פרטית,
595,מאזדה 6,2013,4,2488,"67,000 ₪","110,000",בנזין,אוטומט,לבן פנינה,12/2013,10/2022,פרטית,לא,לא,13,כרמיאל,פרטית,
596,אופל זאפירה,2013,2,1364,"39,000 ₪","160,000",בנזין,אוטומט,כסף מטלי,08/2013,08/2022,פרטית,לא,לא,15,ראשון לציון,ליסינג,
597,יונדאי גטס,2007,6,1399,"8,000 ₪","203,737",בנזין,אוטומט,ברונזה מטאלי,,01/2022,פרטית,לא,לא,14,רמלה,חברה,
598,אופל אסטרה,2014,2,1364,"25,000 ₪","177,000",בנזין,אוטומט,אפור מטאלי,02/2014,04/2022,פרטית,לא,לא,14,בית ג'ן,פרטית,
599,לקסוס RX300,2021,1,1998,"360,000 ₪","8,500",בנזין,אוטומט,לבן פנינה,06/2021,,פרטית,לא,לא,15,טבריה,,
600,סיטרואן C4 פיקאסו,2008,3,1997,"15,000 ₪","178,000",בנזין,רובוטית,לבן,10/2008,10/2022,פרטית,לא,לא,15,חיפה,ליסינג,
601,ניסאן אקס טרייל,2021,1,1332,לא צוין מחיר,"13,500",בנזין,אוטומט,לבן שנהב,01/2021,01/2024,פרטית,לא,לא,14,באר שבע,,
602,סיאט איביזה,2016,3,999,"65,000 ₪",125,בנזין,אוטומט,לבן מטאלי,06/2016,05/2022,פרטית,לא,לא,5,ירושלים,פרטית,
603,יונדאי קונה,2018,1,1591,"95,000 ₪","72,000",בנזין,אוטומט,שחור,02/2018,02/2022,פרטית,לא,לא,14,פתח תקווה,,
604,אופל זאפירה,2002,3,1796,לא צוין מחיר,"190,000",בנזין,אוטומט,כסוף,12/2002,12/2022,פרטית,לא,לא,NaN,צפת,פרטית,
605,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,לא,לא,14,גנות הדר,פרטית,...
606,הונדה אקורד,2008,5,1998,"24,000 ₪","280,000",בנזין,אוטומט,לבן,07/2008,08/2022,פרטית,לא,לא,15,חורה,פרטית,
607,טויוטה אוריס הייבריד,2014,2,1798,"50,000 ₪","206,000",בנזין,אוטומט,לבן,10/2014,10/2022,פרטית,לא,לא,3,קרית ביאליק,ליסינג,
608,הונדה אקורד,2008,5,1997,לא צוין מחיר,"280,000",בנזין,אוטומט,שחור מטאלי,07/2008,07/2022,פרטית,כן,לא,15,אופקים,פרטית,
609,סוזוקי ליאנה,2008,2,1586,"9,500 ₪","206,000",בנזין,אוטומט,כסוף,,,פרטית,לא,לא,NaN,תל אביב יפו,פרטית,
610,סובארו B4,2010,2,2457,"25,000 ₪","177,000",בנזין,אוטומט,אפור עכבר,01/2010,05/2022,פרטית,לא,לא,15,אור יהודה,פרטית,
611,יונדאי אלנטרה (2016 ואילך),2018,2,1591,"77,000 ₪","60,500",בנזין,אוטומט,כסוף מטאלי,10/2018,10/2022,פרטית,לא,לא,11,חולון,ליסינג,
612,ניסאן אקס טרייל,2018,2,1598,"140,000 ₪","35,000",דיזל,אוטומט,אפור עכבר,,,פרטית,לא,לא,14,ירושלים,פרטית,
613,ב.מ.וו סדרה 1,2018,1,1499,"107,000 ₪","78,000",בנזין,אוטומט,לבן,07/2018,04/2022,פרטית,לא,לא,13,אילניה,,
614,אופל אסטרה,2013,2,1364,"23,000 ₪","183,000",בנזין,אוטומט,כסוף מטאלי,08/2013,08/2022,פרטית,כן,כן,14,נין,פרטית,
615,קיה פורטה,2010,2,1591,"17,000 ₪","190,000",בנזין,אוטומט,לבן,11/2010,11/2022,פרטית,לא,לא,14,ראשון לציון,השכרה,
616,סקודה סופרב (עד 2019),2014,2,1984,"79,000 ₪","50,000",בנזין,אוטומט,שחור מטאלי,10/2014,10/2022,פרטית,לא,לא,15,ירושלים,פרטית,
617,סקודה אוקטביה,2012,2,1197,"27,000 ₪","140,000",בנזין,אוטומט,אפור מטאלי,10/2012,01/2023,פרטית,כן,לא,14,קרית ביאליק,פרטית,
618,דייהטסו סיריון,2007,2,1298,"9,000 ₪","260,000",בנזין,אוטומט,אפור מטאלי,,06/2022,פרטית,כן,לא,13,חצור הגלילית,פרטית,
619,פולקסווגן טוארג,2013,3,2967,"117,000 ₪","179,000",דיזל,אוטומט,לבן,09/2013,09/2022,פרטית,לא,לא,15,קרית מלאכי,פרטית,
620,טויוטה אוונסיס,2013,3,1987,"38,000 ₪","180,000",בנזין,אוטומט,לבן,09/2013,07/2022,פרטית,לא,לא,14,קרית גת,פרטית,
621,יונדאי איוניק,2017,3,1580,"79,000 ₪","110,000",בנזין,אוטומט,לבן,07/2017,07/2022,פרטית,לא,לא,2,חריש,פרטית,
622,קיה ריו,2012,7,1396,"15,500 ₪","379,000",דיזל,ידנית,לבן,10/2012,10/2022,פרטית,לא,לא,14,קרית שמונה,מונית,
623,ב.מ.וו סדרה 5,2011,5,2979,"83,000 ₪","198,000",בנזין,אוטומט,אפור מטאלי,,06/2022,פרטית,לא,לא,15,אום אל פחם,פרטית,
624,גרייט וול C10,2014,4,1497,"15,000 ₪","119,000",בנזין,ידנית,לבן,06/2014,06/2022,פרטית,לא,לא,14,חולון,פרטית,
625,ב.מ.וו סדרה 3 קופה / קבריולט,2009,6,2996,"115,000 ₪","133,000",בנזין,אוטומט,לבן,09/2009,08/2022,פרטית,לא,לא,15,כפר כנא,פרטית,
626,קיה ספורטז',2017,1,1999,"109,000 ₪","67,000",בנזין,אוטומט,כסוף,02/2017,02/2022,פרטית,לא,לא,14,ירושלים,,
627,קיה פיקנטו,2017,2,1248,לא צוין מחיר,"100,000",בנזין,אוטומט,חום מטאלי,02/2017,12/2022,פרטית,לא,לא,9,באר שבע,ליסינג,
628,פולקסווגן טוראן,2009,3,1390,"21,900 ₪","168,000",בנזין,אוטומט,כסוף מטאלי,06/2009,07/2022,פרטית,לא,לא,15,לוד,פרטית,
629,סיאט לאון,2008,5,1984,לא צוין מחיר,"205,000",בנזין,אוטומט,שחור,12/2008,12/2021,פרטית,לא,לא,15,ערד,פרטית,
630,יונדאי גטס,2009,2,1399,לא צוין מחיר,"180,000",בנזין,אוטומט,כסף מטלי,,05/2022,פרטית,לא,לא,14,קרית שמונה,פרטית,
631,סקודה אוקטביה,2013,3,1197,"26,000 ₪","198,000",בנזין,אוטומט,לבן,02/2013,02/2022,פרטית,לא,לא,14,קצרין,פרטית,
632,סוזוקי ליאנה,2007,4,1586,"14,000 ₪","215,000",בנזין,אוטומט,לבן פנינה,08/2007,08/2022,פרטית,לא,לא,NaN,אשדוד,ליסינג,
633,סוזוקי בלנו,2018,2,1242,"65,000 ₪","18,000",בנזין,אוטומט,אפור מטאלי,09/2018,,פרטית,לא,לא,4,חיפה,ליסינג,
634,מרצדס SLC,2021,1,1991,לא צוין מחיר,"20,000",בנזין,אוטומט,כסוף,04/2021,04/2022,פרטית,לא,לא,13,חולון,,
635,יונדאי i25,2012,4,1396,"31,000 ₪","111,000",בנזין,אוטומט,אפור מטאלי,12/2012,02/2022,פרטית,כן,לא,NaN,חולון,פרטית,
636,יונדאי i25,2012,3,1396,"24,000 ₪","220,000",בנזין,אוטומט,אפור,,04/2022,פרטית,לא,לא,NaN,רחובות,השכרה,
637,לקסוס GS300,2008,4,2995,"40,000 ₪","164,000",בנזין,אוטומט,לבן פנינה,08/2008,08/2022,פרטית,לא,לא,15,גבעון החדשה,פרטית,
638,יונדאי i30,2009,3,1591,"14,500 ₪","174,000",בנזין,אוטומט,אפור מטאלי,06/2009,06/2022,פרטית,כן,לא,14,שפרעם,פרטית,
639,סיטרואן C1,2016,2,998,"39,000 ₪","49,000",בנזין,רובוטית,כחול כהה מטאלי,10/2016,10/2022,פרטית,לא,לא,3,אשדוד,פרטית,
