,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
312,מיצובישי לנסר הדור החדש,2009,6,1798,"16,000 ₪","243,000",בנזין,אוטומט,אפור,,02/2022,פרטית,חברה,כן,לא,15,עפולה,
313,ניסאן קשקאי,2009,3,1997,"30,000 ₪","220,000",בנזין,אוטומט,לבן,04/2009,04/2022,פרטית,פרטית,כן,לא,15,חולון,
314,מיצובישי לנסר קלאסיק,2005,2,1584,"6,000 ₪","220,000",בנזין,אוטומט,כסוף מטאלי,03/2005,03/2022,פרטית,פרטית,לא,לא,15,קרית ביאליק,
315,קיה פיקנטו,2015,2,1248,"42,000 ₪","80,000",בנזין,אוטומט,אפור מטאלי,,,פרטית,פרטית,לא,לא,9,קרית מלאכי,
316,סיטרואן C4 פיקאסו,2016,2,1598,"34,900 ₪","273,500",בנזין,אוטומט,תכלת,08/2016,08/2022,חברה,ליסינג,לא,לא,14,כפר סבא,
317,מרצדס CL,2010,5,5462,"150,000 ₪","143,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,פרטית,כן,לא,15,רמת גן,
318,טויוטה קורולה,2003,1,1598,"10,500 ₪","182,000",בנזין,אוטומט,אפור מטאלי,,11/2022,פרטית,,לא,לא,NaN,רמת גן,
319,אופל אסטרה,2016,2,1364,"26,500 ₪","143,000",בנזין,אוטומט,לבן מטאלי,07/2016,07/2022,פרטית,חברה,לא,לא,14,אמירים,
320,סיטרואן C4 פיקאסו,2013,3,1598,"12,000 ₪","170,000",בנזין,רובוטית,כחול מטאלי,01/2013,01/2023,פרטית,פרטית,לא,לא,15,כפר בלום,
321,שברולט סוניק,2013,3,1598,"21,180 ₪","127,000",בנזין,אוטומט,לבן,01/2013,,פרטית,פרטית,לא,לא,14,כוכב יעקב,
322,מרצדס GL Class,2010,2,4663,"110,000 ₪","160,000",בנזין,אוטומט,לבן,07/2010,07/2022,פרטית,פרטית,לא,לא,NaN,תל אביב יפו,
323,ב.מ.וו X6,2019,3,2993,"380,000 ₪","74,000",דיזל,אוטומט,לבן פנינה,11/2019,11/2022,פרטית,פרטית,לא,לא,15,דייר אל אסד,
324,פיאט פונטו איבו (דור III מתיחת פנים),2010,1,1368,לא צוין מחיר,"67,000",בנזין,ידנית,לבן,08/2010,08/2022,פרטית,,כן,לא,9,ירושלים,
325,שברולט ספארק,2012,6,1206,"16,000 ₪","125,000",בנזין,ידנית,כחול כהה מטאלי,10/2012,10/2022,פרטית,פרטית,לא,לא,7,חדרה,
326,הונדה FR-V,2009,4,1799,"26,000 ₪","235,000",בנזין,אוטומט,שחור,05/2009,05/2022,פרטית,פרטית,לא,לא,15,אשדוד,
327,טויוטה קורולה,2008,3,1598,"22,000 ₪","165,000",בנזין,אוטומט,תכלת מטאלי,04/2008,04/2022,פרטית,פרטית,לא,לא,15,נתיבות,
328,ב.מ.וו סדרה 5,2019,1,1998,"300,000 ₪","70,000",היברידי חשמל / בנזין,אוטומט,לבן,,,פרטית,,לא,לא,2,חיפה,
329,סקודה סופרב (עד 2019),2017,3,1798,"99,000 ₪","150,000",בנזין,אוטומט,אפור מטאלי,05/2017,,פרטית,פרטית,לא,לא,12,חדרה,
330,פורד מוסטנג,2020,1,5038,"390,000 ₪","9,500",בנזין,אוטומט,שחור,10/2020,10/2022,פרטית,,לא,לא,14,רחובות,
331,אאודי A3,2011,2,1984,"60,000 ₪","125,000",בנזין,אוטומט,אדום מטאלי,09/2011,09/2022,פרטית,פרטית,לא,לא,10,באר שבע,
332,סקודה קודיאק,2019,3,1968,"173,000 ₪","60,000",דיזל,אוטומט,שחור מטאלי,02/2019,02/2022,פרטית,פרטית,לא,לא,11,ירושלים,
333,הונדה אקורד,2007,4,1998,"14,000 ₪","240,000",בנזין,אוטומט,כסוף,,08/2022,פרטית,פרטית,לא,לא,NaN,אור עקיבא,
334,אלפא רומיאו GT,2008,2,3179,"135,000 ₪","74,000",בנזין,ידנית,שחור,11/2008,11/2022,פרטית,פרטית,לא,לא,15,ראשון לציון,
335,סיאט לאון,2013,2,1789,"45,000 ₪","123,000",בנזין,אוטומט,אפור מטאלי,05/2013,05/2022,פרטית,פרטית,לא,לא,13,ירושלים,
336,סיאט לאון,2015,2,1395,לא צוין מחיר,145,בנזין,ידנית,לבן,07/2015,07/2022,פרטית,פרטית,לא,לא,14,סלמה,
337,פיג'ו 208,2014,2,1199,"16,000 ₪","130,000",בנזין,ידנית,אדום,07/2014,07/2022,פרטית,פרטית,כן,לא,14,קרית טבעון,
338,פיג'ו 308,2010,2,1598,"12,000 ₪","156,000",בנזין,אוטומט,כחול,01/2010,01/2022,פרטית,פרטית,לא,לא,15,ניצן ב',
339,שברולט טראקס,2017,2,1364,"80,000 ₪","72,000",בנזין,אוטומט,שחור,10/2017,10/2022,פרטית,פרטית,לא,לא,14,חיפה,
340,מיצובישי סופר לנסר,1999,3,1597,"6,000 ₪","180,000",בנזין,אוטומט,לבן מטאלי,,,פרטית,פרטית,לא,לא,NaN,מעלות תרשיחא,
341,רנו לגונה,2003,3,1783,"5,000 ₪",1,בנזין,אוטומט,אפור מטאלי,,07/2021,פרטית,פרטית,לא,לא,NaN,נתניה,
342,וולוו XC60,2021,2,1969,לא צוין מחיר,"6,000",היברידי חשמל / בנזין,אוטומט,לבן,01/2021,,פרטית,פרטית,לא,לא,2,רמת גן,
343,הונדה אקורד,2009,5,1997,"31,000 ₪","177,000",בנזין,אוטומט,שחור מטאלי,07/2009,07/2022,פרטית,פרטית,כן,לא,15,שפרעם,
344,שברולט אופטרה,2010,3,1598,"8,500 ₪","139,000",בנזין,אוטומט,כחול,,01/2022,פרטית,פרטית,לא,לא,15,רחובות,
345,יונדאי i35,2015,3,1591,"45,000 ₪","150,000",בנזין,אוטומט,כסוף,01/2015,01/2022,פרטית,ליסינג,לא,לא,14,אשקלון,
346,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,פרטית,לא,לא,14,גנות הדר,...
347,מרצדס GLA,2019,2,1595,"205,000 ₪","45,000",בנזין,אוטומט,לבן שנהב,01/2019,01/2022,פרטית,פרטית,לא,לא,14,מודיעין מכבים רעות,
348,סיאט לאון,2015,2,1798,"97,500 ₪","38,000",בנזין,אוטומט,ירוק בהיר,02/2015,02/2022,פרטית,פרטית,לא,לא,14,הרצליה,
349,ניסאן קשקאי,2013,3,1598,"31,000 ₪","187,000",בנזין,ידנית,שחור,12/2013,12/2022,פרטית,פרטית,לא,לא,13,קרית אונו,
350,סיאט לאון,2019,1,1984,"143,000 ₪","50,000",בנזין,אוטומט,לבן,,,פרטית,,לא,לא,4,ביר אל מכסור,
351,אופל אסטרה,2015,2,1364,"50,000 ₪","150,000",בנזין,אוטומט,לבן,07/2015,07/2022,פרטית,השכרה,לא,לא,14,שדמות מחולה,
352,אאודי A6,2009,5,1984,"25,000 ₪","200,000",בנזין,אוטומט,שחור,06/2009,06/2022,פרטית,ליסינג,לא,לא,15,שפרעם,
353,פולקסווגן פאסאט,2016,1,1798,"70,000 ₪","157,000",בנזין,אוטומט,לבן פנינה,01/2016,01/2022,פרטית,,לא,לא,12,חולון,
354,הונדה אקורד,2000,3,1997,"5,000 ₪","315,000",בנזין,אוטומט,כסוף מטאלי,,,פרטית,פרטית,כן,לא,NaN,זכרון יעקב,
355,שברולט אפלנדר,2009,2,3880,"17,000 ₪","166,000",בנזין,אוטומט,כסוף מטאלי,06/2009,06/2022,פרטית,השכרה,לא,לא,15,רמלה,
356,לקסוס LS460,2008,4,4608,"60,000 ₪",167,בנזין,אוטומט,כסוף מטאלי,04/2008,02/2022,פרטית,פרטית,כן,לא,15,עפולה,
357,הונדה סיוויק (עד 2006),2002,4,1590,"10,000 ₪","172,000",בנזין,אוטומט,פלטינה,03/2002,03/2022,פרטית,פרטית,לא,לא,NaN,עתלית,
358,פורד פוקוס,2012,2,1596,לא צוין מחיר,"275,000",בנזין,אוטומט,אפור עכבר,,,פרטית,פרטית,לא,לא,14,רמת ישי,
359,טויוטה C-HR,2017,2,1798,"109,000 ₪","103,000",בנזין,אוטומט,אפור מטאלי,03/2017,03/2022,פרטית,פרטית,לא,לא,3,גדרה,
360,מאזדה 5,2008,3,1999,"24,900 ₪","191,000",בנזין,אוטומט,כחול בהיר,,07/2022,פרטית,ליסינג,לא,לא,15,באר שבע,
361,מאזדה 323 לאנטיס,2002,2,1991,"10,000 ₪","151,619",בנזין,אוטומט,לבן,,,פרטית,פרטית,לא,לא,NaN,ירושלים,
362,פולקסווגן פולו,2003,6,1390,לא צוין מחיר,"233,000",בנזין,ידנית,לבן,04/2003,09/2022,פרטית,פרטית,לא,לא,NaN,ירושלים,
363,קרייזלר טאון קאנטרי,2005,3,3778,"15,500 ₪","238,000",בנזין,אוטומט,תכלת מטאלי,,05/2022,פרטית,פרטית,לא,לא,NaN,טבריה,
364,יונדאי סונטה הייבריד,2018,2,1999,"137,000 ₪","40,000",בנזין,אוטומט,שחור מטאלי,12/2018,11/2022,פרטית,פרטית,לא,לא,3,נתיבות,
365,סקודה ראפיד,2017,1,1395,"45,000 ₪","220,000",בנזין,אוטומט,לבן,02/2017,12/2022,ליסינג,,כן,לא,6,אשקלון,
366,פיג'ו 307CC,2005,4,1997,"28,000 ₪","210,000",בנזין,טיפטרוניק,שחור,,11/2022,פרטית,פרטית,לא,לא,NaN,חדרה,
367,אופל אסטרה,2016,3,1399,"40,000 ₪","113,000",בנזין,אוטומט,כסף מטלי,05/2016,05/2022,פרטית,ליסינג,לא,לא,14,לוד,
368,יונדאי אקסנט (עד 2012),2005,3,1495,"3,000 ₪","300,000",בנזין,אוטומט,לבן,,,פרטית,פרטית,לא,לא,NaN,נתניה,
369,פורד פוקוס,2012,2,1596,"19,800 ₪","147,500",בנזין,אוטומט,לבן,11/2012,12/2023,פרטית,פרטית,לא,לא,14,ירושלים,
