,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
122,רנו קדגא'ר,2017,2,1197,"55,000 ₪","82,000",בנזין,אוטומט,לבן שנהב,01/2017,01/2022,פרטית,ליסינג,לא,לא,13,נהריה,
123,פיג'ו 308,2010,4,1598,"9,000 ₪","140,000",בנזין,אוטומט,כסוף,08/2010,06/2022,פרטית,פרטית,לא,לא,15,טבריה,
124,טויוטה קורולה הייבריד,2019,1,1798,"118,000 ₪","59,800",בנזין,אוטומט,כסוף מטאלי,11/2019,11/2022,ליסינג,,לא,לא,3,ראשון לציון,"טויוטה ראשל""צ סלקט"
125,דייהטסו סיריון,2011,3,1298,"23,600 ₪","105,000",בנזין,אוטומט,אפור,,,פרטית,פרטית,לא,לא,4,אשדוד,
126,פיג'ו 3008,2015,1,1598,"59,000 ₪","48,000",בנזין,אוטומט,לבן מטאלי,04/2015,,פרטית,,לא,לא,15,כפר סבא,
127,טויוטה פריוס הייבריד,2016,2,1798,"70,000 ₪","170,000",בנזין,אוטומט,כסף מטלי,06/2016,06/2022,פרטית,ליסינג,לא,לא,3,בוסתן הגליל,
128,קיה פיקנטו,2015,2,1248,"38,000 ₪","130,000",בנזין,אוטומט,שחור,08/2015,08/2022,פרטית,פרטית,לא,לא,9,נצרת עילית / נוף הגליל,
129,אם. ג'י. / MG ZS,2020,1,999,"96,000 ₪","11,000",בנזין,אוטומט,לבן,10/2020,,פרטית,,לא,לא,1,דימונה,
130,פולקסווגן שירוקו,2010,3,1390,"42,000 ₪","174,000",בנזין,ידנית,לבן,12/2010,12/2022,פרטית,פרטית,לא,לא,15,קרית אונו,
131,אאודי A3,2010,4,1798,"49,900 ₪","140,000",בנזין,אוטומט,שחור,11/2010,10/2022,פרטית,פרטית,לא,לא,15,רמת גן,
132,פורד S-מקס,2014,2,1999,לא צוין מחיר,"216,000",בנזין,אוטומט,אפור,,02/2022,פרטית,פרטית,כן,לא,15,באר שבע,
133,קיה ספורטז',2016,2,1591,"100,000 ₪","103,000",בנזין,אוטומט,לבן,08/2016,10/2022,פרטית,חברה,כן,לא,15,רהט,
134,טויוטה קורולה,2018,1,1598,לא צוין מחיר,"18,000",בנזין,אוטומט,לבן פנינה,02/2018,02/2022,פרטית,,לא,לא,11,אילת,
135,אאודי A3,2015,2,1798,"75,000 ₪","125,000",בנזין,אוטומט,שחור מטאלי,09/2015,09/2022,פרטית,פרטית,לא,לא,13,"יד רמב""ם",
136,סיאט לאון,2013,4,1798,"70,000 ₪","148,000",בנזין,אוטומט,טורקיז,12/2013,09/2022,פרטית,פרטית,לא,לא,13,מבשרת ציון,
137,דייהטסו סיריון,2006,6,1298,"9,500 ₪","213,000",בנזין,אוטומט,כסוף,,09/2022,פרטית,פרטית,לא,לא,4,אשקלון,
138,סובארו B3 האצ'בק,2008,3,1498,"14,000 ₪","165,000",בנזין,אוטומט,כחול,04/2008,04/2022,פרטית,פרטית,לא,לא,15,הרצליה,
