,Unnamed: 0,Area,Owner,AirPol,Hand,Trade,Handicap,Handicap#,Engine,Volume,Engine#,Color,Color#,Km,Year,Gear,Gear#,Price,Maker,Model,Area#,location,point,latitude,longitude,altitude
60,477,קיסריה,פרטית,14.0,2,לא,לא,1,היברידי,1998.0,3,שמפניה,47,78406.0,2017.0,אוטומט,1,162200.0,ב.מ.וו,סדרה 3,332,"Kayseri, Kocasinan, Kayseri, İç Anadolu Bölgesi, 38015, Türkiye","(38.7225274, 35.4874516, 0.0)",38.7225274,35.4874516,0.0
61,2207,עפולה,פרטית,14.0,2,לא,לא,1,בנזין,1798.0,0,שמפניה,47,118000.0,2017.0,אוטומט,1,132000.0,סקודה,סופרב (עד 2019),194,"עפולה, נפת יזרעאל, מחוז הצפון, ישראל","(32.6075587, 35.2890861, 0.0)",32.6075587,35.2890861,0.0
62,4581,עפולה,פרטית,12.0,2,לא,לא,1,בנזין,1798.0,0,שמפניה,47,118000.0,2017.0,אוטומט,1,132000.0,סקודה,סופרב (עד 2019),169,"עפולה, נפת יזרעאל, מחוז הצפון, ישראל","(32.6075587, 35.2890861, 0.0)",32.6075587,35.2890861,0.0
63,3830,לוד,פרטית,,4,לא,לא,1,בנזין,1999.0,0,שמפניה,47,224000.0,2004.0,אוטומט,1,10000.0,מאזדה,6,392,"לוד, נפת רמלה, מחוז המרכז, 7147308, ישראל","(31.9489012, 34.8884857, 0.0)",31.9489012,34.8884857,0.0
64,1731,ירושלים,פרטית,15.0,3,לא,לא,1,בנזין,1997.0,0,שמפניה,47,80000.0,2013.0,אוטומט,1,65000.0,ב.מ.וו,X1,299,"ירושלים, נפת ירושלים, מחוז ירושלים, ישראל","(31.79592425, 35.21198075969497, 0.0)",31.79592425,35.21198075969497,0.0
65,4391,ירושלים,פרטית,14.0,1,לא,לא,1,בנזין,2488.0,0,שמפניה,47,160000.0,2015.0,אוטומט,1,45000.0,ניסאן,אלטימה,354,"ירושלים, נפת ירושלים, מחוז ירושלים, ישראל","(31.79592425, 35.21198075969497, 0.0)",31.79592425,35.21198075969497,0.0
66,1024,ירושלים,פרטית,15.0,2,לא,לא,1,בנזין,3880.0,0,שמפניה,47,210000.0,2009.0,אוטומט,1,12000.0,שברולט,אפלנדר,87,"ירושלים, נפת ירושלים, מחוז ירושלים, ישראל","(31.79592425, 35.21198075969497, 0.0)",31.79592425,35.21198075969497,0.0
67,3607,דימונה,פרטית,14.0,3,לא,לא,1,בנזין,1197.0,0,שמפניה,47,114312.0,2013.0,אוטומט,1,36000.0,סקודה,אוקטביה,116,"דימונה, נפת באר שבע, מחוז הדרום, ישראל","(31.0686612, 35.0366482, 0.0)",31.0686612,35.0366482,0.0
68,1185,בת ים,פרטית,15.0,2,כן,לא,1,בנזין,1998.0,0,שמפניה,47,98000.0,2007.0,אוטומט,1,20000.0,דודג',קאליבר,168,"בת ים, נפת תל אביב, מחוז תל אביב, ישראל","(32.0154565, 34.7505283, 0.0)",32.0154565,34.7505283,0.0
69,2380,באר שבע,פרטית,15.0,2,לא,לא,1,בנזין,5461.0,0,שמפניה,47,54000.0,2017.0,אוטומט,1,,מרצדס,S-Class קופה,346,"באר שבע, נפת באר שבע, מחוז הדרום, ישראל","(31.2457442, 34.7925181, 0.0)",31.2457442,34.7925181,0.0
70,4112,אשקלון,פרטית,12.0,2,לא,לא,1,בנזין,1395.0,0,שמפניה,47,126000.0,2016.0,אוטומט,1,46000.0,סקודה,ראפיד,17,"אשקלון, נפת אשקלון, מחוז הדרום, ישראל","(31.6644874, 34.5730157, 0.0)",31.6644874,34.5730157,0.0
71,1953,תל מונד,פרטית,3.0,1,לא,לא,1,בנזין,1193.0,0,שחור,46,22000.0,2020.0,אוטומט,1,64000.0,מיצובישי,ספייס סטאר,196,"תל מונד, נפת השרון, מחוז המרכז, 4060056, ישראל","(32.2536471, 34.9185387, 0.0)",32.2536471,34.9185387,0.0
72,4119,תל אביב יפו,פרטית,12.0,2,לא,לא,1,בנזין,1395.0,0,שחור,46,106000.0,2016.0,ידנית,0,69000.0,סיאט,לאון,138,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
73,3220,תל אביב יפו,פרטית,6.0,4,לא,לא,1,בנזין,1390.0,0,שחור,46,146000.0,2012.0,ידנית,0,23000.0,סיאט,איביזה,169,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
74,2440,תל אביב יפו,פרטית,15.0,4,לא,לא,1,בנזין,1498.0,0,שחור,46,195000.0,2008.0,ידנית,0,14200.0,סובארו,B3 סדאן,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
